sno,product name,description,Quantity,link,unit price,amount,Running total,
1,ESP32,Brain of the Mouse,1,https://makerbazar.in/products/esp32-wroom-wifi-ble-bluetooth-iot-node-mcu-board?variant=48251049935088,445.00,445.00,445,
2,Motor Driver,Bridge between Brain and motor,1,https://makerbazar.in/products/drv8833-2-channel-1-5a-dc-motor-driver?variant=48341841346800,65.00,65.00,510,
3,Motors with encoders,Locomotive device to calculate it's position,2,https://roboticsdna.in/product/n20-6v-500rpm-micro-metal-gear-motor-with-encoder/,494,988,1498,
4,Infrared Sensors,Eyes to watch out for obstacles,2,https://makerbazar.in/products/ir-receiver-transistor-led?variant=42847315525872,99.00,198,1696,
5,Battery,To power the mouse,1,https://robu.in/product/wly603040-600mah-3-7v-single-cell-rechargeable-lipo-battery/?utm_source=chatgpt.com,198,198,1894,
6,MOSFET,To switch on the IR leds,2,https://www.digikey.in/en/products/detail/alpha-omega-semiconductor-inc/AO3400A/1855772,49.15,98.30,1992.3,
7,Resistors pack,TO limit the current,1,https://robu.in/product/30-different-valued-metal-film-resistor-assorted-kit-for-diy-electronic-projects-and-experiments/,199.00,199.00,2191.3,
8,Wheels,Pair of wheels suitable for N20,1,https://dyoraarobotics.in/product/2,269,269,2460.3,
9,Caster ball,Non-driven wheel to support the mouse,1,https://makerbazar.in/products/mini-3pi-car-n20-caster-robot-ball-wheel,39,39,2499.3,
10,Boost converter,To convert low voltage into 5v,1,https://robocraze.com/products/tps61023-3-7a-5v-output-mini-boost-converter-breakout-board-7semi?srsltid=AfmBOorZcjLyfdjhu4-ktQiGOcvzMeDhyjm8kQI_HV5Uemv6zVHmJe5q,87,87,2586.3,
11,Switch,To power ON/OFF,1,https://makerbazar.in/products/3-pin-dip-mini-slide-switch-through-hole-pcb-slide-button?variant=46800238575856,55,55,2641.3,
12,Screw terminal,To connect battery,1,https://makerbazar.in/products/wire-to-board-screw-terminal-connectors?srsltid=AfmBOorlYyyEAAogTVcPhF7FhGmk6QyMP0Ij64HXCppaQqRuH7ws5u8H&variant=48816549658864,25,25,2666.3,
13,Capacitor 47uF,Caps to store energy,3,https://www.mouser.in/en/ProductDetail/Panasonic/ECA-1HHG470?qs=sGAEpiMZZMsh%252B1woXyUXj0KTxVgEP8%2FoesVWFq9mWps%3D,17.89,53.67,2719.97,
14,Capacitor 0.1uF,Caps,10,https://robu.in/product/rder71h104k0m1h03a-murata-electronics-%C2%B110-50v-100nf-x7r-pluginp5mm-multilayer-ceramic-capacitors-mlcc-leaded-rohs/?gad_source=1&gad_campaignid=17427802703&gbraid=0AAAAADvLFWefn6i5u6u06P2ikuNaq8nHi&gclid=CjwKCAjwvNfSBhBiEiwAyaGMCc8RoM_25v4rTFsFHUdJuWaXGIPravkARzQQLWtrZbm0opEAT2KkExoCW2IQAvD_BwE,16.00,160,2879.97,
15,Female headers,To mount componenets,3,https://makerbazar.in/products/female-berg-strip-2-54mm-header-pin?variant=46822716735728&country=IN&currency=INR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&gad_source=1&gad_campaignid=17426677322&gbraid=0AAAAACLxaAblJEnB5dLql7-x3ZBpJzfe3&gclid=CjwKCAjwmdLSBhANEiwAkREMN3OXcRsLFpE1FGKxTkcoRNSS2PXJgUW0fRO1fCnhbYDCYuGI9XgbIRoCBOQQAvD_BwE,8.5,25.50,2905.47,
16,Male headers,To mount components,2,https://makerbazar.in/products/berg-strip-40-pins?variant=49811925532912&country=IN&currency=INR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&gad_source=1&gad_campaignid=17426677322&gbraid=0AAAAACLxaAblJEnB5dLql7-x3ZBpJzfe3&gclid=CjwKCAjwmdLSBhANEiwAkREMNz77SH8W3c11Vlf4g-hZFOluHlT7KyqQvG2HieT2qgm2LeFkTQocnRoCc5MQAvD_BwE,25,50,2955.47,
17,Tactile switch,To actually make mouse move,1,https://makerbazar.in/products/small-push-button-switch?srsltid=AfmBOoqmTbENfx2a-pJnI3aoowbEo9liCWUeOjVfWND0_L68pnGFyOcG,20,20,2975.47,
18,PCB,Acts as a chassis as well as electrical circuit, 1, wherever you prefer, 2500, 2500, 5475.47
